Stat,Schema,Block device statistics (per device),Caching Agent (CBo) for SNB (HSW) (per socket),Dentry/file/inode cache usage,Home Agent Unit for SNB (HSW) (per socket),InfiniBand usage (sw),Infiniband usage (default),Infiniband usage (ext),Integrated Memory Controller for SNB (HSW) (per socket),Intel Haswell Processor (HSW) (per core),Memory usage (per socket),NFS system usage,NUMA statistics (per socket),Network device usage (per device),Power Control Unit for SNB (HSW) (per socket),"Process specific data (MaxRSS, executable name etc.)",Process statistics,QPI Link Layer for SNB (HSW) (per socket),Ram-backed filesystem usage (per mount),Ring to PCIe Agent for SNB (HSW) (per socket),Running average power limit,Scheduler accounting (per CPU),SysV shared memory segment usage,Virtual memory statistics
08:33:48,Overall Average,0.0,0.0,7355.0,0.0,0.0,0.0,0.1,0.0,0.0,8583812096.0,0.0,0.0,0.0,0.0,192634.53333333333,990.4285714285713,0.0,0.5,0.0,0.0,0.0,0.0,0.0
08:33:48,Standard Deviation,0.0,0.0,4753.328588122924,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,21995388030.153168,0.0,0.0,0.0,0.0,233066.58789363655,914.0263917950944,0.0,0.5,0.0,0.0,0.0,0.0,0.0
08:33:48,High,0.0,0.0,12700.0,0.0,0.0,0.0,1.0,0.0,0.0,68349968384.0,0.0,0.0,0.0,0.0,628592.0,2192.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
08:33:48,Low,0.0,0.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:43:49,Overall Average,5614619.727272728,9557752303.5,9809.666666666666,377748678286.25,763139994.75,0.0,305398131.3,759813788.8,196266710355.36365,9002505216.0,0.0,1300002.333333333,4638683.869565218,96997869600.83333,192634.53333333333,284648.85714285716,2190206070.0,65751042.0,45522787973.0,24854487.33333333,8570.57142857143,0.0,9417867.333333334
08:43:49,Standard Deviation,16740846.490394885,14524180979.90182,6800.117368268156,649493730374.7977,1074927219.0921195,0.0,775804485.8546977,462639852.08203536,333827959430.5973,21196464246.86169,0.0,1838478.4560457116,21463407.788835112,141314696261.98578,233066.58789363655,693519.6451388749,1371301887.9440947,65751038.0,35099968791.850204,27351173.28028369,16919.707054684088,0.0,26123922.56489561
08:43:49,High,58470400.0,34714229352.0,18443.0,1502704649390.0,2597171020.0,0.0,2597171020.0,1330152396.0,900466094058.0,68349968384.0,0.0,3900007.0,105302583.0,398480965189.0,628592.0,1983417.0,3696709387.0,131502080.0,80286954882.0,62949237.0,49116.0,0.0,117002240.0
08:43:49,Low,0.0,1115516707.0,1824.0,2466779134.0,205709.0,0.0,0.0,0.0,60835903.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,4910478.0,0.0,0.0,0.0,0.0
08:53:49,Overall Average,5991153.545454546,31891505588.75,9841.0,777206152298.75,1417040250.5,0.0,567079032.0,6307311699.2,395117231653.5455,9092505344.0,0.0,1879785.333333333,5033045.130434782,192234070160.3333,192634.53333333333,597701.5714285715,13074417363.5,65751042.0,152346288879.25,1396367576.0,17140.85714285714,0.0,12928739.333333336
08:53:49,Standard Deviation,17338800.66172699,45580140205.382515,6802.202731468682,1313381995213.1023,1958041433.3777747,0.0,1419575148.2939467,3573362150.713597,648633680298.8088,20892944578.903683,0.0,2658413.316562574,22643437.490377385,281489531886.1254,233066.58789363655,1459984.449478913,10888853881.919477,65751038.0,109273559222.15587,1954856983.8938415,34359.42053157047,0.0,30965913.88972705
08:53:49,High,60612608.0,110825527275.0,18492.0,3052041884366.0,4745683744.0,0.0,4745683744.0,10910933880.0,1750546112820.0,68349968384.0,0.0,5639356.0,111154477.0,790816184999.0,628592.0,4173918.0,25399099730.0,131502080.0,263320842702.0,4160904900.0,99870.0,0.0,121151488.0
08:53:49,Low,0.0,4548407673.0,1872.0,15966432389.0,393703.0,0.0,0.0,0.0,482429787.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,6825582.0,0.0,0.0,0.0,0.0
09:03:49,Overall Average,6670858.7272727275,62117632570.75,10050.333333333334,1182708063117.25,1835588453.0,0.0,734580187.2,14712820381.4,603632018184.8182,9000918016.0,0.0,2376223.333333333,5497654.608695652,290180157429.1667,192634.53333333333,836716.2857142857,28427238653.75,65751042.0,287072132154.25,1424987900.6666667,25712.285714285717,0.0,15698571.285714285
09:03:49,Standard Deviation,18584028.97977335,88000673885.5443,6876.818175742486,1977747841060.369,2549921660.324841,0.0,1846344223.9281094,8210937727.333269,977580661887.4502,21196429481.446598,0.0,3360480.901276416,24235946.28203675,442552288990.0589,233066.58789363655,2044857.4195448526,24767787733.499992,65751038.0,203958584570.565,1982430602.3487425,52944.14030632201,0.0,35975269.38657432
09:03:49,High,64942080.0,214485023818.0,18885.0,4608235959918.0,6175049220.0,0.0,6175049220.0,25192633668.0,2635283448442.0,68349968384.0,0.0,7128670.0,118963734.0,1245003478049.0,628592.0,5845573.0,55336601791.0,131502080.0,496471395175.0,4228439467.0,153878.0,0.0,130535424.0
09:03:49,Low,0.0,8838105789.0,2112.0,33887366571.0,494079.0,0.0,0.0,0.0,858003536.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,8750998.0,0.0,0.0,0.0,0.0
09:13:49,Overall Average,6864555.2727272725,85849392029.75,9941.333333333334,1578890586007.0,2492990264.0,0.0,997661904.7,20684383463.2,801863893859.3636,9108508928.0,0.0,2963186.666666666,5773708.695652174,389944817457.6667,192634.53333333333,1137175.0,39524182905.25,65751042.0,389868545291.5,2796312724.0,34282.71428571428,0.0,19021991.76190476
09:13:49,Standard Deviation,18614570.008506693,121825747078.70055,6972.858157806518,2636675718418.0366,3439639970.4225693,0.0,2494618554.458186,11501295968.50904,1295535826667.6956,20866993184.34873,0.0,4190570.993680562,25065610.24294265,590980916529.4774,233066.58789363655,2780454.039916554,34512328955.20603,65751038.0,276940937920.4561,1978944665.7717762,70472.53538530206,0.0,42455117.44551944
09:13:49,High,64950272.0,296772688280.0,18849.0,6145700898524.0,8338547272.0,0.0,8338547272.0,35249649357.0,3489398408867.0,68349968384.0,0.0,8889560.0,122992276.0,1661788982891.0,628592.0,7947868.0,76667643247.0,131502080.0,674284575112.0,4293511236.0,204831.0,0.0,130740224.0
09:13:49,Low,0.0,12047976546.0,1824.0,46938326288.0,679881.0,0.0,0.0,0.0,1104799746.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,10444732.0,0.0,0.0,0.0,0.0
09:23:49,Overall Average,7140550.181818183,121732402151.75,9922.333333333334,1995421570596.5,2993046895.75,0.0,1197779583.2,31130084671.4,1001842204183.909,10075067136.0,0.0,3583625.0,6180204.0,490740521336.5,192634.53333333333,1436183.8571428568,57994005311.5,65751042.0,542241247423.5,2824974779.333333,42853.57142857143,0.0,22032731.33333333
09:23:49,Standard Deviation,18943385.37107793,172244318596.61005,6986.280953093395,3311997245775.325,4113522515.35908,0.0,2986148894.225546,17260359571.618553,1602321592991.6584,19371122678.156414,0.0,5067203.315294674,26319327.707885634,749893294554.9712,233066.58789363655,3512509.103577605,51561498172.089966,65751038.0,383419012265.32544,2000052279.5730548,88350.42719737795,0.0,48901834.31156192
09:23:49,High,65953792.0,419916086510.0,18837.0,7731890270524.0,9978139504.0,0.0,9978139504.0,52804444387.0,4310190796449.0,68349968384.0,0.0,10750875.0,129033654.0,2107250335025.0,628592.0,10040038.0,112499953718.0,131502080.0,937714276614.0,4359739737.0,256811.0,0.0,149646010.0
09:23:49,Low,0.0,17008213074.0,1776.0,69065372062.0,836143.0,0.0,0.0,0.0,1604202518.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,12376388.0,0.0,0.0,0.0,0.0
09:33:49,Overall Average,7300356.090909091,143818477710.5,10047.666666666666,2389827395363.75,3598876524.75,0.0,1440223939.8,36577752865.4,1207296255252.9092,9114068736.0,0.0,4060208.333333334,6412792.478260869,591775451215.3334,192634.53333333333,1686290.2857142857,68052989205.25,65751042.0,639393825194.75,4196539745.3333335,51424.571428571435,0.0,24681311.38095238
09:33:49,Standard Deviation,18996929.686934806,203869004572.5847,6873.392482771678,3970883899607.6313,4971446247.543589,0.0,3604529693.2265344,20270639261.237,1936551496490.965,20853028603.73422,0.0,5741192.148943361,27021092.49378295,909198568676.1498,233066.58789363655,4124565.451817257,60160425411.19496,65751038.0,452715610262.7527,3453691293.5494747,106592.08498068988,0.0,54936224.8359938
09:33:49,High,65957888.0,496751878701.0,18877.0,9267509667560.0,12049784412.0,0.0,12049784412.0,61991028737.0,5208067282071.0,68349968384.0,0.0,12180625.0,132381895.0,2554702168038.0,628592.0,11789370.0,131373729248.0,131502080.0,1106274542924.0,8459010614.0,309762.0,0.0,170527358.0
09:33:49,Low,0.0,19977723531.0,2112.0,80613679824.0,978661.0,0.0,0.0,0.0,1845550287.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,13986110.0,0.0,0.0,0.0,0.0
09:43:49,Overall Average,7454212.454545454,180077815840.75,9969.666666666666,2799703026629.75,4100391529.0,0.0,1640922716.9,47476024916.4,1404987031408.7273,10072683776.0,0.0,4648596.0,6805333.0869565215,684434843149.1666,192634.53333333333,1983041.8571428568,87349606799.25,65751042.0,793659740093.75,4225138705.3333335,59995.57142857143,0.0,27554758.19047619
09:43:49,Standard Deviation,19059978.04284075,254527662459.0381,6968.620826406199,4633313511581.673,5646687444.575634,0.0,4097156672.9239798,26295434611.316208,2238256833391.2505,19373437549.662918,0.0,6573293.006303614,28266043.25145811,1063412993892.3217,233066.58789363655,4851078.244287271,77890609247.181,65751038.0,560326301689.9049,3480640205.684299,124459.37554749932,0.0,61806656.16694813
09:43:49,High,65957888.0,620670862698.0,18883.0,10824708122024.0,13692964652.0,0.0,13692964652.0,80347633640.0,6009836895945.0,68349968384.0,0.0,13945788.0,138315408.0,2987329589390.0,628592.0,13865707.0,168641169347.0,131502080.0,1372867142966.0,8524814949.0,361699.0,0.0,201118469.0
09:43:49,Low,0.0,24992485095.0,1872.0,103190173432.0,1121102.0,0.0,0.0,0.0,2254635169.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,15905330.0,0.0,0.0,0.0,0.0
09:53:49,Overall Average,7623323.2727272725,203525825806.0,9946.666666666666,3199590042887.5,4783306923.5,0.0,1914217341.1,53171938639.2,1609752552935.0,9020204288.0,0.0,5230812.0,7048899.173913044,786352350864.3334,192634.53333333333,2267545.5714285714,97810070581.25,65751042.0,894240897272.5,4252471126.0,68566.14285714286,0.0,30494308.28571429
09:53:49,Standard Deviation,19143312.2562268,288277999084.2429,7015.956591149128,5300442627900.025,6634233948.843052,0.0,4805518900.420303,29445312805.394226,2570851091752.1333,21156756750.51496,0.0,7396670.053393036,29010829.13869168,1220910180417.5454,233066.58789363655,5547506.358821536,87206383648.97856,65751038.0,632637975939.879,3507861558.9130373,142515.28004135314,0.0,69022206.36868888
09:53:49,High,65957888.0,702547724544.0,18907.0,12380082807515.0,16069913872.0,0.0,16069913872.0,89949690820.0,6906026593913.0,68349968384.0,0.0,15692436.0,141824800.0,3430205915569.0,628592.0,15856104.0,188867417514.0,131502080.0,1548228848601.0,8591172749.0,414126.0,0.0,224333939.0
09:53:49,Low,0.0,28058476383.0,1776.0,115217121808.0,1268962.0,0.0,0.0,0.0,2450750513.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,17532282.0,0.0,0.0,0.0,0.0
10:03:50,Overall Average,7780522.727272727,239379864078.25,9948.333333333334,3619143506381.75,5435683968.75,0.0,2175286537.2,63932292154.8,1803548112767.2727,9113591808.0,0.0,5814985.666666668,7456174.130434782,875634328264.3334,192634.53333333333,2571966.8571428573,116869970038.5,65751042.0,1046022467722.0,4280944450.3333335,77137.14285714286,0.0,33808945.61904762
10:03:50,Standard Deviation,19233773.69151652,338416139924.39703,6979.946243027632,5980256442601.211,7515511974.113504,0.0,5447932465.3658285,35391536739.52095,2865712477412.521,20856460511.00961,0.0,8222813.893586158,30307263.205108274,1371411653576.7993,233066.58789363655,6292808.092902255,104538912228.26,65751038.0,738272763934.5005,3534722763.656005,160008.53769402305,0.0,77481836.60433944
10:03:50,High,65957888.0,825159527112.0,18866.0,13977071449953.0,18213543200.0,0.0,18213543200.0,108036907366.0,7688934007337.0,68349968384.0,0.0,17444957.0,147937310.0,3851325417194.0,628592.0,17986134.0,225282577524.0,131502080.0,1810236503295.0,8656709382.0,465015.0,0.0,256140035.0
10:03:50,Low,0.0,33012185552.0,1824.0,137665776025.0,1441720.0,0.0,0.0,0.0,2929618101.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,19456212.0,0.0,0.0,0.0,0.0
10:13:50,Overall Average,12197600.363636365,269140996611.0,23348.33333333333,4021151106733.25,5880064164.75,0.0,2353122198.8,72095859496.0,2011992711371.4543,9023942400.0,0.0,6332408.666666668,7764792.869565218,974330793966.6666,192634.53333333333,2803141.714285714,131517842991.25,65751042.0,1173791268501.75,5653551074.666667,85707.71428571429,0.0,40488845.0
10:13:50,Standard Deviation,30644586.52818536,380604128138.8797,25290.218403344974,6640910462791.38,8151453600.518254,0.0,5905198123.512421,39912051695.82948,3196991460496.198,21147483737.801426,0.0,8954559.098133525,31271686.20554615,1537265777104.4197,233066.58789363655,6858202.41554861,117693801581.54907,65751038.0,828743996838.9554,5307909932.082026,178648.27375657475,0.0,88983149.60921095
10:13:50,High,105603072.0,927939696909.0,58869.0,15523338268318.0,19746529732.0,0.0,19746529732.0,121798850093.0,8577514903170.0,68349968384.0,0.0,18997226.0,152442136.0,4318043424525.0,628592.0,19602236.0,253336133388.0,131502080.0,2032166139142.0,12756876852.0,519087.0,0.0,275888846.0
10:13:50,Low,0.0,37033560963.0,1968.0,154496630806.0,1538293.0,0.0,0.0,0.0,3277700150.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,21195292.0,0.0,0.0,0.0,0.0
10:23:50,Overall Average,12450146.545454545,298699731055.0,23270.66666666667,4419042069105.5,6531417843.0,0.0,2613783142.9,80424211806.2,2206914616265.3643,9110355968.0,0.0,6925513.333333332,8108723.391304348,1076119333738.3334,192634.53333333333,3104289.571428572,146677365025.0,65751042.0,1300878120626.0,5681059440.333333,94278.57142857145,0.0,43857232.85714286
10:23:50,Standard Deviation,30789253.5015443,422204468173.4562,25327.198691437537,7293045386301.225,9030958761.791359,0.0,6546388513.680532,44511172600.305145,3501731080589.0063,20866032774.902386,0.0,9790685.074112974,32357543.36998752,1687830893737.9268,233066.58789363655,7595464.727644176,131247834342.84692,65751038.0,917926118279.3484,5335110373.780007,196098.2689614405,0.0,97060579.59393013
10:23:50,High,105603072.0,1029493942216.0,58831.0,17050731360530.0,21885991984.0,0.0,21885991984.0,135787481480.0,9391201842903.0,68349968384.0,0.0,20776540.0,157499218.0,4740168294236.0,628592.0,21709300.0,282536710880.0,131502080.0,2251740450677.0,12821505064.0,569847.0,0.0,307877366.0
10:23:50,Low,0.0,41113724676.0,1776.0,172036337033.0,1718260.0,0.0,0.0,0.0,3657357323.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4.0,23006826.0,0.0,0.0,0.0,0.0
10:33:50,Overall Average,12628572.272727273,335269234827.5,23370.0,4826705219866.25,6948553815.0,0.0,2780717602.8,91220559783.6,2412927428775.3643,9017809664.0,0.0,7372001.333333332,8486198.913043479,1175497725594.6667,192634.53333333333,3336021.571428572,165719379289.5,65751042.0,1457258424389.0,5710073743.666667,102850.14285714287,0.0,46049025.23809524
10:33:50,Standard Deviation,30903483.39883189,473504147044.0841,25284.65816788249,7952517557498.031,9620799549.490492,0.0,6971692446.35735,50495055639.28744,3820263836261.7383,21159318614.977283,0.0,10422112.983599946,33575815.58049249,1853599761235.5557,233066.58789363655,8162595.170000757,148819436747.56274,65751038.0,1027531119971.6572,5363285870.97457,214675.76725672907,0.0,102276977.00347346
10:33:50,High,105603072.0,1154837656510.0,58886.0,18600590272556.0,23310484848.0,0.0,23310484848.0,153989546188.0,10240715811495.0,68349968384.0,0.0,22116004.0,163175802.0,5204797702594.0,628592.0,23330212.0,319382640161.0,131502080.0,2522647791409.0,12888714018.0,623758.0,0.0,327415663.0
10:33:50,Low,0.0,46146144667.0,2016.0,193994694361.0,1809199.0,0.0,0.0,0.0,4112222988.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,4.0,24888672.0,0.0,0.0,0.0,0.0
10:43:50,Overall Average,12803643.909090908,358023235160.5,23289.66666666667,5212535338513.25,7600049280.5,0.0,3041436280.3,96999377214.0,2610691305597.727,9110466048.0,0.0,7912428.0,8736538.260869564,1278710708296.0,192634.53333333333,3622773.0,176330500405.5,65751042.0,1556064742520.25,5736762582.666667,111420.85714285713,0.0,49356606.095238104
